"requested","w_white","rgb_white","rgbw_white","rgb_r","rgb_g","rgb_b","w_lux","rgb_lux","rgbw_lux","w_cct","rgb_cct","rgbw_cct","parameter","value"
0.0,0.000473022,0.000488281,0.000473022,0.4375,0,0,0,0,0,0,0,0,"",""
0.125,0.116394043,0.154647827,0.145690918,0.689985216,0.591514528,0.457523435,140.9093475,188.6027069,185.708374,3391,4926,4638,"",""
0.25,0.230438232,0.302581787,0.287002563,0.697982848,0.601159871,0.465809375,282.2905884,375.034668,371.0707092,3406,4973,4650,"",""
0.375,0.337661743,0.42817688,0.420211792,0.702719092,0.609493613,0.474644512,417.946106,538.0603638,548.6938477,3418,5058,4671,"",""
0.5,0.44418335,0.427688599,0.550842285,0.702665091,0.609654307,0.474758297,554.5139771,537.588501,727.197876,3428,5061,4694,"",""
0.625,0.545135498,0.427474976,0.673782349,0.702659309,0.60978049,0.474709988,685.7965698,537.4311523,897.7740479,3436,5061,4712,"",""
0.75,0.563156128,0.427078247,0.795349121,0.702561736,0.610096812,0.475008041,709.5803223,537.2109375,1065.26709,3439,5067,4747,"",""
0.875,0.563018799,0.426528931,0.866836548,0.702357531,0.610059738,0.474975854,709.3601074,536.4873657,1171.97937,3440,5069,4418,"",""
1.0,0.562652588,0.42616272,0.907775879,0.702101767,0.610082686,0.475025952,708.8252563,536.046936,1189.628418,3440,5072,4077,"",""
"","","","","","","","","","","","","","measurement","lux"
"","","","","","","","","","","","","","interval",320
"","","","","","","","","","","","","","gamma",1
"","","","","","","","","","","","","","temperature",6500.0
"","","","","","","","","","","","","","w_brightness",1.8
"","","","","","","","","","","","","","maxlevel",2.8
"","","","","","","","","","","","","","method","python"
"","","","","","","","","","","","","","w_temperature",3600.0
