"requested","w_white","rgb_white","rgbw_white","rgb_r","rgb_g","rgb_b","w_lux","rgb_lux","rgbw_lux","w_cct","rgb_cct","rgbw_cct","parameter","value"
0.0,0.000473022,0.000473022,0.000488281,0.483870953,0,0,0,0,0,0,0,0,"",""
0.125,0.083862305,0.000488281,0.074249268,0.4375,0,0,101.143898,0,84.72177887,3383,0,2849,"",""
0.25,0.167495728,0.15965271,0.147781372,0.773487508,0.5391379,0.325623631,204.1753998,177.4658661,170.4817352,3400,2997,2861,"",""
0.375,0.24848938,0.236282349,0.221176147,0.778624475,0.543429136,0.328705192,305.3822327,264.7359009,257.75177,3407,3005,2881,"",""
0.5,0.328414917,0.309646606,0.290649414,0.780712545,0.550781071,0.332380623,405.9913025,351.628418,341.0263977,3416,3045,2886,"",""
0.625,0.405410767,0.344421387,0.361129761,0.754518867,0.589712918,0.356813759,504.4296265,418.7640686,426.8178101,3424,3502,2899,"",""
0.75,0.481170654,0.376647949,0.428421021,0.735253632,0.619672656,0.376033068,602.4904785,481.2121582,508.7081909,3430,3888,2902,"",""
0.875,0.554672241,0.387664795,0.495391846,0.727347851,0.617216408,0.399866164,698.5692749,493.3242493,591.9828491,3436,4121,2911,"",""
1.0,0.564819336,0.39894104,0.559860229,0.720022976,0.615681767,0.422145724,711.8453979,506.4116211,672.9608765,3438,4366,2917,"",""
"","","","","","","","","","","","","","measurement","lux"
"","","","","","","","","","","","","","interval",320
"","","","","","","","","","","","","","gamma",1
"","","","","","","","","","","","","","temperature",2800.0
"","","","","","","","","","","","","","w_brightness",1.8
"","","","","","","","","","","","","","maxlevel",2.032418925801451
"","","","","","","","","","","","","","method","python"
"","","","","","","","","","","","","","w_temperature",3600.0
