"requested","w_white","rgb_white","rgbw_white","rgb_r","rgb_g","rgb_b","w_lux","rgb_lux","rgbw_lux","w_cct","rgb_cct","rgbw_cct","parameter","value"
0.0,0.028442383,0.028488159,0.028594971,0.215854317,0.155865029,0.07391537,18.37264061,18.30971909,18.56139946,2795,2787,2818,"",""
0.125,0.052627563,0.02885437,0.050216675,0.215230033,0.154944479,0.07297726,80.53759766,18.43556023,69.5266037,3365,2769,2920,"",""
0.25,0.077728271,0.075271606,0.071853638,0.55584836,0.391648084,0.236570045,145.4081268,121.5614395,124.6445236,3455,3041,2987,"",""
0.375,0.101898193,0.097259521,0.092636108,0.611703813,0.430812687,0.263413876,209.7752838,172.7783203,175.609726,3496,3061,3001,"",""
0.5,0.125061035,0.120422363,0.115509033,0.642549396,0.45375064,0.279396862,270.0526428,225.3165131,229.7209167,3516,3084,3005,"",""
0.625,0.148132324,0.143035889,0.133590698,0.663644135,0.468423307,0.2900576,332.909729,275.9671326,278.6726685,3538,3093,3009,"",""
0.75,0.170730591,0.163452148,0.153930664,0.684372663,0.482542932,0.3006908,395.0746765,325.23349,332.0288391,3548,3100,3025,"",""
0.875,0.192062378,0.184371948,0.172897339,0.699577928,0.494992971,0.308615416,453.6531982,376.3245239,380.9176941,3557,3116,3025,"",""
1.0,0.214324951,0.205612183,0.193695068,0.710649371,0.501892388,0.314285725,515.50354,425.5279541,434.210907,3567,3116,3032,"",""
"","","","","","","","","","","","","","measurement","lux"
"","","","","","","","","","","","","","interval",160
"","","","","","","","","","","","","","gamma",1
"","","","","","","","","","","","","","temperature",2800.0
"","","","","","","","","","","","","","w_brightness",1.8
"","","","","","","","","","","","","","method","python"
"","","","","","","","","","","","","","w_temperature",3600.0
