"requested","w_white","rgb_white","rgbw_white","rgb_r","rgb_g","rgb_b","w_lux","rgb_lux","rgbw_lux","w_cct","rgb_cct","rgbw_cct","parameter","value"
0.0,0.000839233,0.000839233,0.000839233,0.309090912,0,0,0,0,0,0,0,0,"",""
0.125,0.042190552,0.046676636,0.041397095,0.720823824,0.548218369,0.391958147,54.39434052,52.75841904,50.11577988,3612,3800,3740,"",""
0.25,0.085891724,0.092376709,0.085678101,0.728113651,0.553518355,0.394945502,112.2807388,105.4224625,104.9190979,3633,3791,3723,"",""
0.375,0.128723145,0.138473511,0.128616333,0.731460035,0.558787882,0.396804422,169.4120941,159.5336609,158.526947,3642,3804,3720,"",""
0.5,0.168640137,0.183135986,0.171081543,0.734960854,0.561989665,0.401849687,222.957016,212.1976929,211.8831024,3652,3831,3723,"",""
0.625,0.210144043,0.227203369,0.213363647,0.737877786,0.565748811,0.403290808,279.4906311,265.019043,266.3088989,3660,3836,3737,"",""
0.75,0.251144409,0.27003479,0.254699707,0.740860045,0.567384303,0.405040413,335.5838318,315.8898621,318.9729309,3666,3834,3740,"",""
0.875,0.289306641,0.312393188,0.292922974,0.743467033,0.56948173,0.406633139,388.1220093,366.7921448,367.8932495,3671,3836,3743,"",""
1.0,0.329498291,0.355651855,0.333724976,0.745967031,0.571606338,0.408915401,443.7432861,419.141571,420.3370667,3679,3844,3757,"",""
"","","","","","","","","","","","","","measurement","lux"
"","","","","","","","","","","","","","interval",320
"","","","","","","","","","","","","","w_gamma",1
"","","","","","","","","","","","","","rgb_gamma",1
"","","","","","","","","","","","","","rgb_temperature",3600.0
"","","","","","","","","","","","","","w_temperature",3600.0
"","","","","","","","","","","","","","r_factor",1.0
"","","","","","","","","","","","","","g_factor",0.7660232812730132
"","","","","","","","","","","","","","b_factor",0.5735660698896949
"","","","","","","","","","","","","","w_factor",0.5555555555555556
