"requested","rgb_lux_10","rgb_cct_10","rgb_r_10","rgb_g_10","rgb_b_10","rgb_w_10","rgbw_lux_10","rgbw_cct_10","rgbw_r_10","rgbw_g_10","rgbw_b_10","rgbw_w_10","rgb_lux_20","rgb_cct_20","rgb_r_20","rgb_g_20","rgb_b_20","rgb_w_20","rgbw_lux_20","rgbw_cct_20","rgbw_r_20","rgbw_g_20","rgbw_b_20","rgbw_w_20","rgb_lux_50","rgb_cct_50","rgb_r_50","rgb_g_50","rgb_b_50","rgb_w_50","rgbw_lux_50","rgbw_cct_50","rgbw_r_50","rgbw_g_50","rgbw_b_50","rgbw_w_50","rgb_lux_100","rgb_cct_100","rgb_r_100","rgb_g_100","rgb_b_100","rgb_w_100","rgbw_lux_100","rgbw_cct_100","rgbw_r_100","rgbw_g_100","rgbw_b_100","rgbw_w_100","parameter","value"
5437.5,147.3901062,3948,0.360862553,0.29113844,0.195935875,0.245544434,148.3024445,3703,0.34023875,0.297732592,0.154803261,0.241592407,248.3452454,4390,0.443839729,0.370366901,0.266256928,0.32522583,248.4081573,4108,0.417468578,0.387666941,0.210771799,0.310791016,539.4446411,4881,0.559484005,0.48191449,0.366909295,0.542922974,543.4714966,4507,0.523788452,0.509857714,0.289711356,0.516998291,1008.82782,5087,0.632125318,0.550241947,0.428446412,0.889251709,1024.117432,4680,0.594328701,0.589835107,0.340405881,0.842132568,"",""
5750.0,148.1451416,3984,0.361130208,0.294367701,0.196599364,0.244094849,148.7114258,3787,0.340893239,0.299461514,0.160342097,0.240859985,250.6418152,4473,0.446153134,0.374670804,0.271961987,0.324462891,253.3473816,4199,0.415423125,0.387648016,0.215750456,0.316986084,549.826416,4973,0.555338383,0.481168449,0.369500577,0.554229736,555.6779785,4594,0.520873666,0.510299623,0.294080257,0.528152466,1029.654297,5218,0.629603326,0.553144395,0.434568763,0.90284729,1044.251831,4799,0.591800034,0.59092772,0.348400414,0.85710144,"",""
6062.5,150.473175,4036,0.360098362,0.294067025,0.199016288,0.248184204,148.050766,3908,0.343386412,0.305882365,0.167370811,0.23475647,254.3226471,4572,0.446374387,0.377457172,0.277256399,0.326797485,256.8079834,4289,0.417624712,0.392659575,0.222088605,0.317214966,561.2149658,5120,0.555558562,0.486792564,0.377558261,0.559173584,564.3609619,4727,0.521092474,0.514099836,0.303633869,0.532440186,1050.984253,5360,0.628287554,0.557852566,0.441696584,0.913772583,1063.379517,4919,0.590816498,0.59375,0.356889397,0.868652344,"",""
6375.0,152.6439209,4137,0.359636277,0.296106428,0.203527406,0.250030518,153.2416534,3952,0.341614127,0.304038435,0.169589907,0.24446106,259.5764465,4681,0.445971489,0.380528539,0.282202661,0.330856323,260.3944092,4397,0.419065446,0.3970927,0.229178667,0.318054199,567.1923218,5267,0.561030746,0.496871978,0.389003724,0.553665161,575.56073,4824,0.523031473,0.519877255,0.31090337,0.536972046,1072.848877,5483,0.628306746,0.563129544,0.448446125,0.924041748,1082.349854,5028,0.591299355,0.597956061,0.365075767,0.877929688,"",""
6687.5,151.5428162,4192,0.361545533,0.295430839,0.208954304,0.248794556,153.8079376,3959,0.343585581,0.306251556,0.170821846,0.243591309,260.3629456,4761,0.446167976,0.379807264,0.28751722,0.332489014,260.079834,4438,0.418541342,0.394851208,0.232554808,0.319473267,571.6281738,5329,0.55550164,0.489665031,0.389818639,0.566207886,574.9000244,4914,0.521625996,0.516930223,0.317586482,0.539413452,1073.446655,5617,0.626675189,0.559700131,0.456736058,0.930221558,1083.010498,5119,0.59042269,0.5951249,0.372668326,0.882644653,"",""
7000.0,150.5675659,4279,0.359033167,0.296622247,0.210784003,0.246200562,149.3406219,4019,0.335977346,0.298835367,0.171167761,0.242385864,256.5563049,4894,0.438477933,0.377511352,0.288352937,0.329620361,253.5361328,4559,0.410299718,0.38896665,0.235146478,0.316146851,562.1587524,5474,0.548090577,0.487424999,0.391898513,0.559387207,566.3114624,5036,0.516076446,0.514932215,0.321786135,0.533416748,1050.008911,5825,0.619515479,0.559577525,0.462553442,0.910110474,1054.822388,5297,0.58625102,0.595901608,0.382237941,0.858551025,"",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","measurement","cct"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","interval",320
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","w_gamma",1
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","rgb_gamma",1
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","rgb_temperature",3600.0
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","w_temperature",3600.0
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","w_factor",0.5555555555555556
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cs_cct","False"
