"requested","rgb_lux_10","rgb_cct_10","rgb_r_10","rgb_g_10","rgb_b_10","rgb_w_10","rgb_lux_20","rgb_cct_20","rgb_r_20","rgb_g_20","rgb_b_20","rgb_w_20","rgb_lux_50","rgb_cct_50","rgb_r_50","rgb_g_50","rgb_b_50","rgb_w_50","rgb_lux_100","rgb_cct_100","rgb_r_100","rgb_g_100","rgb_b_100","rgb_w_100","parameter","value"
2000.0,62.16495895,2173,0.177767783,0.111161113,0.041854184,0.033905029,63.17168045,2082,0.188303053,0.111209571,0.045635801,0.034439087,96.14176178,1846,0.279670984,0.149627894,0.060712885,0.038955688,"","","","","","","",""
2312.5,62.16495895,2198,0.176788121,0.111111112,0.042735044,0.033920288,64.17839813,2100,0.188854486,0.112781957,0.045555063,0.034500122,99.41359711,1914,0.280326605,0.153576985,0.064152412,0.039245605,"","","","","","","",""
2625.0,61.66159821,2157,0.177927926,0.110360362,0.041891892,0.033874512,63.92671967,2128,0.188770995,0.11229001,0.048187446,0.034515381,107.4673615,2054,0.284724891,0.16429396,0.07079646,0.039657593,"","","","","","","",""
2937.5,60.65488052,2145,0.176708639,0.108363308,0.042266186,0.033935547,66.19184113,2170,0.190497145,0.115706116,0.048834141,0.034683228,110.7391968,2173,0.283917695,0.167682931,0.078887194,0.040039063,"","","","","","","",""
3250.0,61.15824127,2161,0.176470593,0.109115399,0.042209249,0.033981323,66.19184113,2141,0.190769225,0.115604393,0.047032967,0.034713745,118.2895966,2313,0.287330329,0.17722474,0.085595779,0.040466309,"","","","","","","",""
3562.5,61.66159821,2176,0.176629215,0.110112362,0.042247191,0.033950806,67.95359802,2221,0.191582635,0.11836914,0.050416484,0.034805298,123.5748825,2429,0.289170086,0.182731673,0.092668407,0.041000366,"","","","","","","",""
3875.0,62.16495895,2198,0.176312253,0.110812023,0.042620011,0.034011841,69.21199799,2257,0.191601053,0.120297462,0.050743658,0.034881592,128.3567963,2540,0.290607721,0.187845305,0.099079192,0.041427612,"","","","","","","",""
4187.5,63.17168045,2197,0.177153051,0.112003572,0.041945562,0.034194946,70.21871948,2285,0.19232446,0.121674664,0.051897079,0.034988403,135.6555176,2693,0.292727262,0.195636362,0.106909089,0.04196167,"","","","","","","",""
4500.0,61.40991974,2149,0.177153051,0.108879961,0.042391788,0.034194946,70.21871948,2267,0.192524984,0.121251628,0.051282052,0.035110474,142.1992035,2856,0.29532373,0.203237414,0.115827337,0.042419434,"","","","","","","",""
4812.5,62.16495895,2173,0.176995099,0.110120371,0.042353991,0.034225464,70.97376251,2319,0.194023386,0.122130789,0.055435255,0.035232544,145.7227173,2959,0.296824843,0.206564397,0.122368887,0.042770386,"","","","","","","",""
5125.0,62.41664124,2231,0.176366061,0.109729007,0.046201687,0.034347534,72.23216248,2367,0.193255514,0.124081276,0.055771723,0.035293579,152.2664032,3081,0.299190432,0.21295318,0.12847589,0.04335022,"","","","","","","",""
5437.5,63.17168045,2223,0.177412182,0.11160516,0.044464204,0.034317017,72.98719788,2376,0.194732293,0.125215888,0.056563038,0.035339355,156.2932739,3192,0.30108279,0.216905341,0.135172889,0.043685913,"","","","","","","",""
5750.0,63.6750412,2292,0.176574975,0.112244897,0.047471162,0.034393311,73.99391937,2404,0.195090443,0.126614988,0.057278208,0.035430908,163.0886383,3348,0.302213013,0.224066392,0.141424626,0.044128418,"","","","","","","",""
6062.5,62.6683197,2195,0.178143054,0.110617504,0.044424701,0.034347534,73.49056244,2390,0.195783138,0.125645444,0.058089502,0.035461426,166.1087952,3463,0.30333218,0.226726204,0.148059085,0.044418335,"","","","","","","",""
6375.0,62.16495895,2160,0.178952038,0.109680288,0.043960925,0.034362793,75.25231934,2465,0.197334483,0.128546864,0.061478935,0.035491943,171.6457672,3568,0.306094646,0.232209742,0.153558046,0.044815063,"","","","","","","",""
6687.5,63.17168045,2311,0.177412182,0.11160516,0.050244555,0.034317017,75.25231934,2478,0.197334483,0.128546864,0.062338781,0.035491943,171.3940735,3621,0.306621403,0.231239393,0.157894731,0.044937134,"","","","","","","",""
7000.0,62.16495895,2212,0.17628774,0.109680288,0.044849023,0.034362793,74.24559784,2504,0.193785071,0.127319813,0.061717737,0.035354614,166.3604736,3739,0.297967613,0.22769548,0.158112302,0.044296265,"","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","measurement","rgb_cct"
"","","","","","","","","","","","","","","","","","","","","","","","","","interval","None"
"","","","","","","","","","","","","","","","","","","","","","","","","","rgb_gamma",2.2
"","","","","","","","","","","","","","","","","","","","","","","","","","cs_cct","False"
