"requested","rgb_lux_10","rgb_cct_10","rgb_r_10","rgb_g_10","rgb_b_10","rgb_w_10","rgb_lux_20","rgb_cct_20","rgb_r_20","rgb_g_20","rgb_b_20","rgb_w_20","rgb_lux_50","rgb_cct_50","rgb_r_50","rgb_g_50","rgb_b_50","rgb_w_50","rgb_lux_100","rgb_cct_100","rgb_r_100","rgb_g_100","rgb_b_100","rgb_w_100","parameter","value"
2000.0,66.69519806,2093,0.194982395,0.116637327,0.046214789,0.034667969,81.29264069,2052,0.229122952,0.135543436,0.052454889,0.036361694,141.1924744,1975,0.344164908,0.196016774,0.077568136,0.043670654,"","","","","","","",""
2312.5,68.45696259,2142,0.195538059,0.118985124,0.04768154,0.034881592,84.31279755,2125,0.230961293,0.138576776,0.056179777,0.03666687,152.2664032,2164,0.34631148,0.206625685,0.092554644,0.044677734,"","","","","","","",""
2625.0,69.21199799,2151,0.199215338,0.119877942,0.051002614,0.035003662,88.33968353,2276,0.231943876,0.144861743,0.063970283,0.036972046,165.3537598,2390,0.350435942,0.220321938,0.108987257,0.045501709,"","","","","","","",""
2937.5,69.71536255,2171,0.197821349,0.12069717,0.050108932,0.035018921,89.84976196,2320,0.233990148,0.146551728,0.067733988,0.03717041,176.9310455,2585,0.353734791,0.231326088,0.122737743,0.04637146,"","","","","","","",""
3250.0,71.72879791,2215,0.199478492,0.123859189,0.051282052,0.035110474,93.87664032,2461,0.235365853,0.151626021,0.074796751,0.037536621,183.9780731,2730,0.35457781,0.236493051,0.133613721,0.047164917,"","","","","","","",""
3562.5,72.23216248,2275,0.200086623,0.124296233,0.055868343,0.035232544,97.40016174,2533,0.237363532,0.156490088,0.077234127,0.037734985,194.548645,2906,0.357575744,0.246570975,0.144497603,0.047836304,"","","","","","","",""
3875.0,73.99391937,2317,0.200344682,0.126669541,0.056441188,0.035415649,97.65184021,2560,0.23882401,0.157068059,0.080144987,0.037887573,202.0990448,3072,0.357904643,0.251882046,0.155269757,0.04864502,"","","","","","","",""
4187.5,74.24559784,2330,0.199741706,0.126990959,0.056392595,0.035446167,100.9236832,2698,0.238513783,0.160207748,0.086695962,0.038192749,208.6427155,3185,0.361576647,0.257293612,0.164183736,0.049163818,"","","","","","","",""
4500.0,75.75567627,2364,0.202223167,0.128687471,0.059427105,0.035690308,103.94384,2729,0.240270048,0.164019063,0.086973786,0.038421631,219.7166443,3346,0.36252296,0.267299443,0.170545012,0.049835205,"","","","","","","",""
4812.5,76.76239777,2448,0.201623231,0.130286202,0.06279368,0.035720825,105.4539185,2802,0.241392955,0.165809259,0.091412745,0.03855896,225.2536011,3463,0.363416106,0.27104786,0.177771047,0.050384521,"","","","","","","",""
5125.0,77.26576233,2442,0.201279312,0.130916849,0.061407249,0.03578186,107.4673615,2851,0.242412299,0.168309033,0.093417421,0.038711548,230.7905579,3595,0.364373684,0.275458097,0.185340941,0.050796509,"","","","","","","",""
5437.5,78.2724762,2482,0.202386022,0.132509589,0.063485302,0.035812378,109.4807968,2917,0.243700787,0.171259835,0.096456692,0.038757324,236.3275146,3742,0.365948528,0.280969471,0.193596646,0.050994873,"","","","","","","",""
5750.0,75.00064087,2471,0.200871453,0.129847497,0.064052291,0.035018921,109.4807968,3006,0.242890999,0.171800941,0.100710899,0.038635254,242.8712006,3849,0.366142899,0.28609547,0.197746813,0.051467896,"","","","","","","",""
6062.5,78.02079773,2534,0.201368108,0.132535279,0.065840103,0.035690308,110.4875183,3014,0.242935643,0.172291994,0.100863419,0.038879395,247.4014435,3952,0.365832359,0.286088467,0.204016298,0.052429199,"","","","","","","",""
6375.0,78.52416229,2528,0.202633813,0.13254036,0.06669499,0.035919189,114.2627182,3093,0.244937688,0.176791281,0.103971966,0.03918457,254.9518433,4069,0.368878573,0.293538094,0.210084036,0.052658081,"","","","","","","",""
6687.5,78.77584076,2541,0.20271416,0.132739604,0.067430027,0.035980225,112.7526398,3081,0.244937688,0.174454823,0.105140187,0.03918457,253.6934357,4125,0.368497103,0.291329473,0.214161843,0.05279541,"","","","","","","",""
7000.0,78.77584076,2609,0.201530606,0.133078232,0.070153058,0.035888672,110.4875183,3107,0.241676465,0.171954557,0.105366237,0.038955688,246.8980865,4241,0.361907542,0.288472801,0.21562317,0.052154541,"","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","measurement","rgb_cct"
"","","","","","","","","","","","","","","","","","","","","","","","","","interval","None"
"","","","","","","","","","","","","","","","","","","","","","","","","","rgb_gamma",1.4
"","","","","","","","","","","","","","","","","","","","","","","","","","cs_cct","False"
