"requested","rgb_lux_10","rgb_cct_10","rgb_r_10","rgb_g_10","rgb_b_10","rgb_w_10","rgbw_lux_10","rgbw_cct_10","rgbw_r_10","rgbw_g_10","rgbw_b_10","rgbw_w_10","rgb_lux_20","rgb_cct_20","rgb_r_20","rgb_g_20","rgb_b_20","rgb_w_20","rgbw_lux_20","rgbw_cct_20","rgbw_r_20","rgbw_g_20","rgbw_b_20","rgbw_w_20","rgb_lux_50","rgb_cct_50","rgb_r_50","rgb_g_50","rgb_b_50","rgb_w_50","rgbw_lux_50","rgbw_cct_50","rgbw_r_50","rgbw_g_50","rgbw_b_50","rgbw_w_50","rgb_lux_100","rgb_cct_100","rgb_r_100","rgb_g_100","rgb_b_100","rgb_w_100","rgbw_lux_100","rgbw_cct_100","rgbw_r_100","rgbw_g_100","rgbw_b_100","rgbw_w_100","parameter","value"
5125.0,109.260582,3421,0.309426367,0.233009055,0.14713183,0.227432251,107.3729782,3254,0.294583172,0.232842132,0.120957837,0.22366333,168.2166138,3848,0.37930268,0.29733637,0.204248458,0.274398804,166.1402588,3614,0.35604459,0.30185768,0.161303222,0.266952515,341.875824,4354,0.497130215,0.407660276,0.298983395,0.40675354,335.39505,4049,0.463693976,0.419575751,0.234916762,0.387710571,620.5170288,4611,0.583569586,0.486303896,0.36879608,0.618881226,617.96875,4266,0.545648038,0.509903193,0.289489388,0.587814331,"",""
5437.5,108.8830566,3483,0.312124938,0.236020193,0.151732132,0.223754883,107.4673615,3330,0.296427339,0.236975372,0.125147417,0.219955444,170.0413055,3940,0.381960779,0.302801132,0.209859937,0.272369385,167.3986664,3722,0.358015448,0.306615204,0.168433785,0.264801025,348.1048889,4492,0.496705502,0.411904842,0.30655548,0.409896851,343.574646,4165,0.463623673,0.42352438,0.242651045,0.393463135,634.2021484,4742,0.582356393,0.49031961,0.376124918,0.627349854,632.1257935,4395,0.543171525,0.511767089,0.298278242,0.599090576,"",""
5750.0,110.1414566,3495,0.310487151,0.236874148,0.150338292,0.225524902,108.6313782,3359,0.295770794,0.236685172,0.126739323,0.222610474,172.1491241,3977,0.381828278,0.30408448,0.211447626,0.274581909,169.7266998,3785,0.359071374,0.309257656,0.172484949,0.266189575,352.6980591,4574,0.494563222,0.411836028,0.310153544,0.415374756,350.8104553,4252,0.461699784,0.425172538,0.246997371,0.400192261,647.1636353,4852,0.579134822,0.491658688,0.380544931,0.638427734,645.024353,4503,0.540083945,0.51237005,0.304503202,0.610595703,"",""
6062.5,110.8964996,3538,0.308025032,0.234562144,0.152116045,0.229309082,110.8964996,3419,0.294653088,0.237677842,0.128986582,0.226303101,175.2007446,4059,0.380188376,0.304950178,0.214598626,0.278656006,173.2816772,3848,0.357154906,0.309455574,0.174953654,0.271591187,360.6889038,4672,0.494852096,0.41563949,0.315436482,0.420898438,356.2844849,4351,0.461164325,0.427004009,0.253412247,0.404693604,660.7858276,4967,0.578566015,0.49570471,0.386741251,0.64654541,656.6645508,4616,0.543144166,0.519048095,0.314343274,0.613616943,"",""
6375.0,114.8290024,3580,0.306306899,0.235620677,0.15228197,0.236373901,113.9166565,3414,0.290227115,0.232966602,0.127452865,0.237167358,179.982666,4092,0.372702986,0.299513102,0.212083131,0.29145813,177.969223,3867,0.349693239,0.301787138,0.173326224,0.286026001,370.5673523,4721,0.484588087,0.40978986,0.310847491,0.438598633,365.7539673,4413,0.451728106,0.41943863,0.252326995,0.422943115,674.4709473,5048,0.568185985,0.4895643,0.384293944,0.668212891,671.0103149,4676,0.530351341,0.507736623,0.311488301,0.640991211,"",""
6687.5,115.8671799,3530,0.295106858,0.223591551,0.146005347,0.251342773,116.1188583,3355,0.280946016,0.224404186,0.120379381,0.250976563,181.272522,4067,0.360749424,0.28635323,0.205695257,0.307037354,179.0388641,3839,0.337567061,0.287976921,0.16744256,0.301544189,372.171814,4766,0.472110361,0.397033155,0.306584775,0.454650879,367.0752869,4438,0.440077841,0.405434519,0.249105245,0.43913269,682.0842896,5154,0.559084952,0.482948333,0.384670228,0.685012817,673.6529541,4747,0.523310602,0.499650002,0.313491702,0.653930664,"",""
7000.0,116.3705368,3518,0.286502987,0.217255965,0.140960887,0.259796143,113.664978,3366,0.273010164,0.216217831,0.11903052,0.254974365,179.1017761,4133,0.353049278,0.28272745,0.203764409,0.307250977,175.0434418,3920,0.331932992,0.285055578,0.168707415,0.297836304,364.9989319,4878,0.468200773,0.396703809,0.309512407,0.446258545,360.091156,4546,0.439190865,0.406911016,0.255074829,0.429214478,663.5228882,5320,0.55580759,0.484063148,0.391489655,0.665908813,657.7341919,4891,0.520475507,0.500095665,0.321365356,0.637908936,"",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","measurement","cct"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","interval",320
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","w_gamma",1
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","rgb_gamma",1
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","rgb_temperature",3600.0
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","w_temperature",3600.0
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","w_factor",0.5555555555555556
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cs_cct","False"
